,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
496,Her,2013,126.0,8.0,695000.0,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",23000000.0,48269269.0,25568251.0,260382.0,Amy Adams,Science-Fiction,83,186,1,150
497,Her,2013,126.0,8.0,695000.0,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",23000000.0,48269269.0,25568251.0,260382.0,Scarlett Johansson,Science-Fiction,83,186,1,150
498,Sicko,2007,123.0,8.0,78000.0,"A documentary comparing the highly profitable American health care industry to other nations, and HMO horror stories including shotgun deaths.",9000000.0,36163768.0,24540079.0,68969.0,Michael Moore,Drama,14,17,1,1470
499,Sicko,2007,123.0,8.0,78000.0,"A documentary comparing the highly profitable American health care industry to other nations, and HMO horror stories including shotgun deaths.",9000000.0,36163768.0,24540079.0,68969.0,Tucker Albrizzi,Drama,14,17,1,1470
500,Sicko,2007,123.0,8.0,78000.0,"A documentary comparing the highly profitable American health care industry to other nations, and HMO horror stories including shotgun deaths.",9000000.0,36163768.0,24540079.0,68969.0,Edward R. Annis,Drama,14,17,1,1470
501,The Princess Bride,1987,98.0,8.0,462000.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",16000000.0,30967717.0,30857814.0,206243.0,Cary Elwes,Action,7,11,1,4080
502,The Princess Bride,1987,98.0,8.0,462000.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",16000000.0,30967717.0,30857814.0,206243.0,Mandy Patinkin,Action,7,11,1,4080
503,The Princess Bride,1987,98.0,8.0,462000.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",16000000.0,30967717.0,30857814.0,206243.0,Robin Wright,Action,7,11,1,4080
504,Sling Blade,1996,135.0,8.0,101000.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",1000000.0,24444121.0,24444121.0,28139.0,Billy Bob Thornton,Drama,14,15,1,1470
505,Sling Blade,1996,135.0,8.0,101000.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",1000000.0,24444121.0,24444121.0,28139.0,Dwight Yoakam,Drama,14,15,1,1470
506,Sling Blade,1996,135.0,8.0,101000.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",1000000.0,24444121.0,24444121.0,28139.0,J.T. Walsh,Drama,14,15,1,1470
507,Pink Floyd: The Wall,1982,95.0,8.0,87000.0,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,12000000.0,22274148.0,22244207.0,10079109.0,Bob Geldof,Fantasy,3,2,0,435
508,Pink Floyd: The Wall,1982,95.0,8.0,87000.0,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,12000000.0,22274148.0,22244207.0,10079109.0,Christine Hargreaves,Fantasy,3,2,0,435
509,Pink Floyd: The Wall,1982,95.0,8.0,87000.0,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,12000000.0,22274148.0,22244207.0,10079109.0,James Laurenson,Fantasy,3,2,0,435
510,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,118.0,8.0,14000.0,Documentary about the legendary 1969 Harlem Cultural Festival which celebrated African-American music and culture and promoted Black pride and unity.,30000000.0,3696069.0,2320649.0,802054.0,Dorinda Drake,Music & Dance,74,45,1,49
511,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,118.0,8.0,14000.0,Documentary about the legendary 1969 Harlem Cultural Festival which celebrated African-American music and culture and promoted Black pride and unity.,30000000.0,3696069.0,2320649.0,802054.0,Barbara Bland-Acosta,Music & Dance,74,45,1,49
512,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,118.0,8.0,14000.0,Documentary about the legendary 1969 Harlem Cultural Festival which celebrated African-American music and culture and promoted Black pride and unity.,30000000.0,3696069.0,2320649.0,802054.0,Darryl Lewis,Music & Dance,74,45,1,49
513,Fitzcarraldo,1982,158.0,8.0,40000.0,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",14000000.0,4475.0,38824099.0,10079109.0,Klaus Kinski,Adventure,4,4,0,1755
514,Fitzcarraldo,1982,158.0,8.0,40000.0,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",14000000.0,4475.0,38824099.0,10079109.0,Claudia Cardinale,Adventure,4,4,0,1755
515,Fitzcarraldo,1982,158.0,8.0,40000.0,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",14000000.0,4475.0,38824099.0,10079109.0,José Lewgoy,Adventure,4,4,0,1755
516,Avatar,2009,162.0,7.9,1400000.0,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,237000000.0,2923710708.0,785221649.0,77025481.0,Sam Worthington,Action,91,131,3,4080
517,Avatar,2009,162.0,7.9,1400000.0,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,237000000.0,2923710708.0,785221649.0,77025481.0,Zoe Saldaña,Action,91,131,3,4080
518,Avatar,2009,162.0,7.9,1400000.0,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,237000000.0,2923710708.0,785221649.0,77025481.0,Sigourney Weaver,Action,91,131,3,4080
519,Titanic,1997,194.0,7.9,1300000.0,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",200000000.0,2264812968.0,674354882.0,28638131.0,Leonardo DiCaprio,Drama,126,83,11,1470
520,Titanic,1997,194.0,7.9,1300000.0,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",200000000.0,2264812968.0,674354882.0,28638131.0,Kate Winslet,Drama,126,83,11,1470
521,Titanic,1997,194.0,7.9,1300000.0,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",200000000.0,2264812968.0,674354882.0,28638131.0,Billy Zane,Drama,126,83,11,1470
522,Bohemian Rhapsody,2018,134.0,7.9,617000.0,"With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.",52000000.0,910813521.0,216668042.0,51061119.0,Rami Malek,Drama,50,80,4,1470
523,Bohemian Rhapsody,2018,134.0,7.9,617000.0,"With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.",52000000.0,910813521.0,216668042.0,51061119.0,Lucy Boynton,Drama,50,80,4,1470
524,Bohemian Rhapsody,2018,134.0,7.9,617000.0,"With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.",52000000.0,910813521.0,216668042.0,51061119.0,Gwilym Lee,Drama,50,80,4,1470
525,Thor: Ragnarok,2017,130.0,7.9,845000.0,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",180000000.0,855301806.0,315058289.0,122744989.0,Chris Hemsworth,Action,6,50,0,4080
526,Thor: Ragnarok,2017,130.0,7.9,845000.0,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",180000000.0,855301806.0,315058289.0,122744989.0,Tom Hiddleston,Action,6,50,0,4080
